news,llm_responses,complete_responses,actual_labels
comex gold pares loss as u.s. equities fall,"Okay, I'm ready to analyze the headline ""comex gold pares loss as u.s. equities fall"" based on your criteria. Here's my assessment:

*   **Price or Not:** 1 (The headline discusses ""loss,"" which implies a price change.)
*   **Direction Up:** 1 (""pares loss"" implies the price is recovering, thus moving upwards.)
*   **Direction Down:** 1 (""loss"" implies the price was previously going down.)
*   **Direction Constant:** 0 (The headline doesn't suggest the price is staying the same.)
*   **","ModelResponse(id='chatcmpl-18834a5a-2923-466c-b8a3-6dc2cea68112', created=1739176236, model='gemini-2.0-flash-exp', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Okay, I\'m ready to analyze the headline ""comex gold pares loss as u.s. equities fall"" based on your criteria. Here\'s my assessment:\n\n*   **Price or Not:** 1 (The headline discusses ""loss,"" which implies a price change.)\n*   **Direction Up:** 1 (""pares loss"" implies the price is recovering, thus moving upwards.)\n*   **Direction Down:** 1 (""loss"" implies the price was previously going down.)\n*   **Direction Constant:** 0 (The headline doesn\'t suggest the price is staying the same.)\n*   **', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=193, total_tokens=321, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])","[1, 0, 1, 0, 1, 0, 0]"
gold flirts with 11-month lows after positive u.s. data,"Okay, I'm ready to analyze the headline ""gold flirts with 11-month lows after positive u.s. data"" based on your criteria. Here's my assessment:

*   **Price or Not:** 1 (The headline mentions ""lows,"" which implies price.)
*   **Direction Up:** 0 (The headline indicates a downward trend.)
*   **Direction Down:** 1 (The headline mentions ""lows,"" indicating a decrease in price.)
*   **Direction Constant:** 0 (The headline suggests a change in price, not a constant one.)
*","ModelResponse(id='chatcmpl-72dc7991-6ce1-44d3-ad0a-b3295e4d605d', created=1739176238, model='gemini-2.0-flash-exp', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Okay, I\'m ready to analyze the headline ""gold flirts with 11-month lows after positive u.s. data"" based on your criteria. Here\'s my assessment:\n\n*   **Price or Not:** 1 (The headline mentions ""lows,"" which implies price.)\n*   **Direction Up:** 0 (The headline indicates a downward trend.)\n*   **Direction Down:** 1 (The headline mentions ""lows,"" indicating a decrease in price.)\n*   **Direction Constant:** 0 (The headline suggests a change in price, not a constant one.)\n*   ', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=126, prompt_tokens=198, total_tokens=324, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])","[1, 0, 1, 0, 1, 0, 0]"
investors chronicle :  gold in recessions,"Okay, I'm ready to analyze the headline ""investors chronicle : gold in recessions"" like an expert. Here's my assessment based on your criteria:

*   **Price or Not:** 0 (The headline mentions gold, but not specifically its price.)
*   **Direction Up:** 0 (No indication of price increase.)
*   **Direction Down:** 0 (No indication of price decrease.)
*   **Direction Constant:** 0 (No indication of price remaining constant.)
*   **Past Price:** 0 (No mention of past price levels.)
*   **Future Price","ModelResponse(id='chatcmpl-76b20ff6-8b2b-47b5-bad2-b4f676927c8f', created=1739176240, model='gemini-2.0-flash-exp', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Okay, I\'m ready to analyze the headline ""investors chronicle : gold in recessions"" like an expert. Here\'s my assessment based on your criteria:\n\n*   **Price or Not:** 0 (The headline mentions gold, but not specifically its price.)\n*   **Direction Up:** 0 (No indication of price increase.)\n*   **Direction Down:** 0 (No indication of price decrease.)\n*   **Direction Constant:** 0 (No indication of price remaining constant.)\n*   **Past Price:** 0 (No mention of past price levels.)\n*   **Future Price', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=189, total_tokens=316, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])","[0, 0, 0, 0, 0, 0, 1]"
Gold futures log back-to-back weekly losses,"Okay, I'm ready to analyze the headline ""Gold futures log back-to-back weekly losses"" based on your criteria. Here's my assessment:

*   **Price or Not:** 1 (The headline discusses ""losses,"" which implies a change in price.)
*   **Direction Up:** 0 (The headline indicates ""losses,"" implying a downward direction.)
*   **Direction Down:** 1 (The headline explicitly states ""losses,"" indicating a downward direction.)
*   **Direction Constant:** 0 (The headline indicates a change, not a constant price.)
*   **Past Price:**","ModelResponse(id='chatcmpl-301e09f7-df1b-4c06-b1d4-c14d15b2546f', created=1739176241, model='gemini-2.0-flash-exp', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Okay, I\'m ready to analyze the headline ""Gold futures log back-to-back weekly losses"" based on your criteria. Here\'s my assessment:\n\n*   **Price or Not:** 1 (The headline discusses ""losses,"" which implies a change in price.)\n*   **Direction Up:** 0 (The headline indicates ""losses,"" implying a downward direction.)\n*   **Direction Down:** 1 (The headline explicitly states ""losses,"" indicating a downward direction.)\n*   **Direction Constant:** 0 (The headline indicates a change, not a constant price.)\n*   **Past Price:**', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=191, total_tokens=319, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])","[1, 0, 1, 0, 1, 0, 0]"
glamis gold upped to buy at ubs,"Okay, I'm ready to analyze the headline ""glamis gold upped to buy at ubs"" like an expert. Here's my assessment based on your criteria:

*   **Price or Not:** 0 (While ""upped to buy"" implies a positive valuation, it doesn't explicitly mention a price.)
*   **Direction Up:** 1 (""upped to buy"" suggests a positive change in valuation or recommendation, implying an upward direction.)
*   **Direction Down:** 0
*   **Direction Constant:** 0
*   **Past Price:** 0
*   **Future","ModelResponse(id='chatcmpl-2f0aa986-664a-4622-885a-0b6754601ca0', created=1739176242, model='gemini-2.0-flash-exp', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Okay, I\'m ready to analyze the headline ""glamis gold upped to buy at ubs"" like an expert. Here\'s my assessment based on your criteria:\n\n*   **Price or Not:** 0 (While ""upped to buy"" implies a positive valuation, it doesn\'t explicitly mention a price.)\n*   **Direction Up:** 1 (""upped to buy"" suggests a positive change in valuation or recommendation, implying an upward direction.)\n*   **Direction Down:** 0\n*   **Direction Constant:** 0\n*   **Past Price:** 0\n*   **Future', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=129, prompt_tokens=191, total_tokens=320, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])","[1, 0, 0, 0, 1, 0, 0]"
bnp paribas trims 2013 gold forecast,"Okay, I'm ready to analyze the headline ""bnp paribas trims 2013 gold forecast"" based on your criteria. Here's my assessment:

*   **Price or Not:** 1 (The word ""trims"" implies a change in the price forecast, thus relating to price.)
*   **Direction Up:** 0 (The word ""trims"" implies a downward revision, not an increase.)
*   **Direction Down:** 1 (The word ""trims"" implies a downward revision of the forecast.)
*   **Direction Constant:** 0 (The headline suggests a","ModelResponse(id='chatcmpl-8fd74c5c-a808-4eee-9bea-fd94145b584f', created=1739176244, model='gemini-2.0-flash-exp', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Okay, I\'m ready to analyze the headline ""bnp paribas trims 2013 gold forecast"" based on your criteria. Here\'s my assessment:\n\n*   **Price or Not:** 1 (The word ""trims"" implies a change in the price forecast, thus relating to price.)\n*   **Direction Up:** 0 (The word ""trims"" implies a downward revision, not an increase.)\n*   **Direction Down:** 1 (The word ""trims"" implies a downward revision of the forecast.)\n*   **Direction Constant:** 0 (The headline suggests a', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=129, prompt_tokens=194, total_tokens=323, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])","[0, 0, 0, 0, 0, 0, 1]"
Gold logs a 1.1% monthly loss in October,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"spot gold quoted at $412.90, down 60c from new york",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
turkey's gold repatriation 'sign of coming end' of us-dominated monetary system,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
"June gold falls $3.40, or 0.3%, to settle at $1,253.90/oz",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
feb gold falls $1 to $577.70/oz in afternoon dealings,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"april gold settles at $1,317.80/oz, up $5.50, or 0.4%",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
cad to widen to $25 billion in fy17 on gold imports surge: report,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
gold tops $534 to mark an over 24-year high,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold eyes $1,800/oz after 'astronomical' rally",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold losses mount: off 2% at $1,822.30/oz.",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"gold at $1,670.50, near day's intraday record",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
Gold settles at three-week low as Fed interest-rate hike lifts the dollar,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"jim rogers may buy gold if price drops to $1,300",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
commerzbank : gold etf holdings post weekly decline of 21 tons,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
dec. gold climbs $2.50 to $626.30/oz in morning trading,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
gold futures edge higher with ukraine events in focus,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold falls to fresh 1-week low after gdp, jobless claims data",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"oil turns positive after inventories, gold steady",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
gold futures up $9.40 at $877.90 an ounce,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"Gold surges 1% on global cues, spot demand",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
philadelphia gold & silver index down 1.51 at 86.20,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"gold futures bounce off 7-week low to reclaim $1,200-level",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"gold continues slide amid positive greek developments, mixed u.s. data",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
gold futures near highest level in eight weeks,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold up by rs 420, silver by rs 1,100 on wedding season demand",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold, silver close at new 18-year highs; copper falls",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
gold falls as traders scramble to assess news of terror plot,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
dec. gold ends up 1.8% at $1187 an ounce,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"Feb. gold loses $13, or 1.1%, to finish at $1,197.80/oz",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"Sell gold if it rallies to $1,230-35/oz",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 0, 0, 0, 1, 0]"
gold loses shine after diwali; tumbles by rs 400,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 1, 0, 1, 0, 0]"
gold edges down to 10-month low as dollar rises on fed hike bets,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
gold futures close near $380 an ounce,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 0, 1, 1, 0, 0]"
coins : gold & silver eagle sales drop sharply due to central bank intervention,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"goldman sachs : gold seen rising to us$1,350  in 12 months",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold resumes slide, settles 0.8% lower as dollar strengthens",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"April gold settles at $1,225.50/oz, down $1, or less than 0.1%",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"feb gold falls $8.10, or 0.5%, to $1,743.20/oz",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
mcx goldpetal april contract advances,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
MCX GOLD June contract trading higher,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
Gold set to rise in coming months,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 0, 1, 0]"
indian gold refining units are now focusing on scrap jewellery,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
silver's discount to gold sticks out like sore thumb,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
"gold advances by rs 280 to rs 31,700 on strong global cues",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"Gold down $9.40, or 0.7%, at $1,262.30/oz.",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
gold futures rise after u.s. dollar falls vs. rivals,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"dec. gold up $1.20, or 0.1%, at $1,273.50/oz",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
gold to move in a narrow range in 2017 but could move to $1450/oz in 2018,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 0, 1, 1, 0, 0]"
"Gold reverses course to finish flat, shaking off stronger dollar",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
"Dec. gold drops $15.50, or 1.2%, to settle at $1,335.70/oz",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
gold prices off lows but gains capped,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 0, 0, 1, 0, 0]"
gold sticks near 12-week high as fed eyes global economy,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold down $21.60, or 1.6%, to $1,374.80 ounce",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
mcx gold prices may rise on rupee depreciation: karvy,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
World gold council: India demand down 28% in Q3 on high prices,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
"Gold Rate Today: Gold, silver down in morning deals",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
Gold prices extend gains as dollar sags after Donald Trump remarks,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
gold prices gain in asia as china caixin pmi jumps,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"Gold suffers biggest one-day loss in nearly 4 weeks, ends at lowest since Oct. 9",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
Gold edges higher on safe-haven bids but gains seen as short-lived,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
gold prices to move higher towards 31870 levels: choice equity,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
u.s. stocks headed lower as gold spikes,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
